,text,labels
78,"Just watched the first 15 minutes, got bored, skipped to the magic bit, it's funnier as a gif. //n Just watched the first quarter hour, got bored, skipped to the magic bit, it's funnier as a gif.",0
79,"Just watched the first quarter hour, got bored, skipped to the magic bit, it's funnier as a gif. //n Just watched the first 15 minutes, got bored, skipped to the magic bit, it's funnier as a gif.",0
80,Weird that you want to show something to a stack of papers. //n Weird that you want to show this video to a stack of papers.,1
81,Weird that you want to show this video to a stack of papers. //n Weird that you want to show something to a stack of papers.,0
82,"At the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia. //n At the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest child of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.",1
83,"At the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest child of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia. //n At the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.",0
84,"At the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia. //n At the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest able-bodied son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.",1
85,"At the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest able-bodied son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia. //n At the age of 24, she was betrothed to prince albert victor, duke of clarence and avondale, the eldest son of the prince of wales, but six weeks after the announcement of the engagement, he died unexpectedly of pneumonia.",1
86,"There are four supraocular scales (above the eyes) in almost all specimens and five supraciliary scales (immediately above the eyes, below the supraoculars). //n There are four scales above the eyes in almost all specimens and five supraciliary scales (immediately above the eyes, below the supraoculars).",0
87,"There are four scales above the eyes in almost all specimens and five supraciliary scales (immediately above the eyes, below the supraoculars). //n There are four supraocular scales (above the eyes) in almost all specimens and five supraciliary scales (immediately above the eyes, below the supraoculars).",0
88,"Regional governors could not rely on the king for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars. //n Regional governors could not rely on anyone for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.",1
89,"Regional governors could not rely on anyone for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars. //n Regional governors could not rely on the king for help in times of crisis, and the ensuing food shortages and political disputes escalated into famines and small-scale civil wars.",0
90,The 15th tank corps was a tank corps of the soviet union's red army. //n The 15th tank corps was a corps of the soviet union's red army.,0
91,The 15th tank corps was a corps of the soviet union's red army. //n The 15th tank corps was a tank corps of the soviet union's red army.,0
92,"In grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their targets from others in the context, leading to many kinds of pragmatic meaning enrichment. //n In grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their targets from others in the context, leading to many kinds of meaning enrichment.",0
93,"In grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their targets from others in the context, leading to many kinds of meaning enrichment. //n In grounded communication tasks, speakers face pressures in choosing referential expressions that distinguish their targets from others in the context, leading to many kinds of pragmatic meaning enrichment.",0
94,"While most successful approaches for reading comprehension rely on recurrent neural networks (RNNs), running them over long documents is prohibitively slow because it is difficult to parallelize over sequences. //n While most approaches for reading comprehension rely on recurrent neural networks (RNNs), running them over long documents is prohibitively slow because it is difficult to parallelize over sequences.",1
95,"While most approaches for reading comprehension rely on recurrent neural networks (RNNs), running them over long documents is prohibitively slow because it is difficult to parallelize over sequences. //n While most successful approaches for reading comprehension rely on recurrent neural networks (RNNs), running them over long documents is prohibitively slow because it is difficult to parallelize over sequences.",1
96,Understanding a long document requires tracking how entities are introduced and evolve over time. //n Understanding a long document requires understanding how entities are introduced.,0
97,Understanding a long document requires understanding how entities are introduced. //n Understanding a long document requires tracking how entities are introduced and evolve over time.,1
98,So there is no dedicated memory block for every entity and no distinction between entity mentions and non-mention words. //n So there is no dedicated high-dimensional memory block for every entity and no distinction between entity mentions and non-mention words.,0
99,So there is no dedicated high-dimensional memory block for every entity and no distinction between entity mentions and non-mention words. //n So there is no dedicated memory block for every entity and no distinction between entity mentions and non-mention words.,1
100,"Indeed, it is often stated that for humans to learn how to perform adequately in a domain, one example is enough from which to learn. //n Indeed, it is often stated that for humans to learn how to perform adequately in a domain, any number of examples is enough from which to learn.",1
101,"Indeed, it is often stated that for humans to learn how to perform adequately in a domain, any number of examples is enough from which to learn. //n Indeed, it is often stated that for humans to learn how to perform adequately in a domain, one example is enough from which to learn.",1
102,Looking at pictures online of people trying to take photos of mirrors they want to sell is my new thing. //n Looking at pictures online of people trying to take photos of mirrors is my new thing.,1
103,Looking at pictures online of people trying to take photos of mirrors is my new thing. //n Looking at pictures online of people trying to take photos of mirrors they want to sell is my new thing.,1
104,A serene wind rolled across the glade. //n A wind rolled across the glade.,0
105,A wind rolled across the glade. //n A serene wind rolled across the glade.,1
106,I don't want to have to keep entertaining people who don't value my time. //n I don't want to have to keep entertaining people.,1
107,I don't want to have to keep entertaining people. //n I don't want to have to keep entertaining people who don't value my time.,0
108,The first pleasurable experience I had interacting with another human being was at the age of seventeen. //n The first experience I had interacting with another human being was at the age of seventeen.,1
109,The first experience I had interacting with another human being was at the age of seventeen. //n The first pleasurable experience I had interacting with another human being was at the age of seventeen.,1
110,The first pleasurable experience I had interacting with another human being was at the age of seventeen. //n The first displeasurable experience I had interacting with another human being was at the age of seventeen.,1
111,The first displeasurable experience I had interacting with another human being was at the age of seventeen. //n The first pleasurable experience I had interacting with another human being was at the age of seventeen.,1
112,The leading car gradually shifted to the left lane. //n The leading car shifted to the left lane.,0
113,The leading car shifted to the left lane. //n The leading car gradually shifted to the left lane.,1
114,"The timing of the meeting has not been set, according to a starbucks spokesperson. //n The timing of the meeting has not been considered, according to a starbucks spokesperson.",1
115,"The timing of the meeting has not been considered, according to a starbucks spokesperson. //n The timing of the meeting has not been set, according to a starbucks spokesperson.",0
116,"Some of the orator's statements were incomprehensible, but the crowd loved them. //n Some of the orator's statements were comprehensible, but the crowd loved them.",1
117,"Some of the orator's statements were comprehensible, but the crowd loved them. //n Some of the orator's statements were incomprehensible, but the crowd loved them.",1
118,There are some amazing hikes around Mt. Fuji. //n There are some amazing hikes in Japan.,0
119,There are some amazing hikes in Japan. //n There are some amazing hikes around Mt. Fuji.,1
120,There are some amazing hikes around Mt. Fuji. //n There are some amazing hikes in nepal.,1
121,There are some amazing hikes in nepal. //n There are some amazing hikes around Mt. Fuji.,1
122,There are some amazing hikes around Mt. Fuji. //n There are some strenuous hikes around Mt. Fuji.,1
123,There are some strenuous hikes around Mt. Fuji. //n There are some amazing hikes around Mt. Fuji.,1
124,An experienced sommelier knows the difference between the 2009 and 2013 vintage of a German riesling. //n A sommelier knows the difference between the 2009 and 2013 vintage of a German riesling.,1
125,A sommelier knows the difference between the 2009 and 2013 vintage of a German riesling. //n An experienced sommelier knows the difference between the 2009 and 2013 vintage of a German riesling.,0
126,An experienced sommelier knows the difference between the 2009 and 2013 vintage of a German riesling. //n An Italian sommelier knows the difference between the 2009 and 2013 vintage of a German riesling.,1
127,An Italian sommelier knows the difference between the 2009 and 2013 vintage of a German riesling. //n An experienced sommelier knows the difference between the 2009 and 2013 vintage of a German riesling.,1
128,"So far two of my cherry trees have already bloomed, and it's not even april. //n So far two of my trees have already bloomed, and it's not even april.",1
129,"So far two of my trees have already bloomed, and it's not even april. //n So far two of my cherry trees have already bloomed, and it's not even april.",1
130,Colourless is a world without language. //n The absence of color and the senses is a world without language.,1
131,Colourless is a world without language. //n A life without colors that make our lives happy is a world without language.,1
132,"I want to become a singer, at any cost. //n I want to become a bad boy.",1
133,Some people say thirteen is an unlucky number. //n Some people say thirteen is an unlucky date to propose a girl.,1
134,Nancy can't decide anything for herself. //n My friend can't decide anything for herself.,1
135,Nancy can't decide anything for herself. //n This man can't decide anything for herself.,1
136,Jack doesn't drive fast. //n That man doesn't drive fast.,1
137,Some children learn languages easily and others with difficulty. //n Some children learn math easily and others with difficulty.,1
138,I can not do without sugar in my coffee. //n I can not do without milk in my coffee.,1
139,I can not do without sugar in my coffee. //n I can not do without lemon in my coffee.,1
140,Some Germans work for only one euro an hour. //n Some Germans work for only one euro an hour without holiday pay.,1
141,Some Germans work for only one euro an hour without holiday pay. //n Some Germans work for only one euro an hour.,0
142,You can't live without oxygen. //n You can't live without the atmosphere.,1
143,You can't live without oxygen. //n You can't live without food.,1
144,You can't live without oxygen. //n You can't live without house.,1
145,Every sentence in that book is important. //n Every sentence in that syllabus book is important.,1
146,Every sentence in that syllabus book is important. //n Every sentence in that book is important.,0
147,Hysteria is no laughing matter. //n Frenzy is no laughing matter.,1
148,Hysteria is no laughing matter. //n Wildness is no laughing matter.,1
149,"All is in the hands of man, therefore wash them often. //n All is in the hands of different entity, therefore wash them often.",1
150,"All is in the hands of man, therefore wash them often. //n They will always be in the hands of man.",1
151,Some flowers bloom in spring and others in autumn. //n Some rose flowers bloom in spring and others in autumn.,1
152,Things didn't go well. //n That stuff didn't go well.,1
153,All the players were in position. //n All the players were in defending position.,1
154,All the players were in defending position. //n All the players were in position.,0
155,All the players were in position. //n All the players were in its place.,1
156,Life can not exist without water. //n Forests can not exist without water.,1
157,Life can not exist without water. //n The rivers can not exist without water.,1
158,Life can not exist without water. //n The sea can not exist without water.,1
159,Wet firewood doesn't burn well. //n Wet firewood and carbon doesn't burn well.,1
160,Wet firewood and carbon doesn't burn well. //n Wet firewood doesn't burn well.,0
161,"I have French nationality but vietnamese origins. //n I have French nationality, but jewish blood flows in me.",1
162,"I have French nationality but vietnamese origins. //n I have French nationality, but my father is from guinea.",1
163,All the schools are closed on that holiday. //n All the schools are closed on that summer holiday.,1
164,All the schools are closed on that holiday. //n All the schools are closed on that thanksgiving holiday.,1
165,It is a great pity that you don't know it. //n It is a great person on the inside.,1
166,That was a fight which had no chance of a successful outcome. //n That was a dilemma which had no chance of a successful outcome.,1
167,He expressed his opinion in a few words. //n He expressed his opinion in a few paragraphs.,1
168,Tom swims every other day. //n Tom swims in pool every other day.,1
169,Tom swims in pool every other day. //n Tom swims every other day.,0
170,Tom swims every other day. //n Tom swims freestyle every other day.,1
171,Tom goes to bed at the same time every night. //n Tom goes to cook to drink water at the same time every night.,1
172,Tom goes to bed at the same time every night. //n Tom goes to the shower at the same time every night.,1
173,Tom goes to bed at the same time every night. //n Tom goes to garage at the same time every night.,1
174,Tom goes to bed at the same time every night. //n Tom goes to barn at the same time every night.,1
175,Tom goes to bed at the same time every night. //n Tom goes to rachel's bed at the same time every night.,1
176,A squirrel is taking a bath in the pond. //n A squirrel in summer is taking a bath in the pond.,1
177,A squirrel in summer is taking a bath in the pond. //n A squirrel is taking a bath in the pond.,0
178,Tom and Mary were speaking to each other in a language i didn't recognize. //n Tom and Mary were speaking to each other in a recognizable language i didn't recognize.,1
179,The office was small but it had a view of the city. //n The office was small but it had a smell of the city.,1
180,There is no accounting for taste. //n There is no accounting for unique.,1
181,There is no accounting for taste. //n There is no accounting for taste and hobbies.,1
182,Every one but Jim came. //n Every one but lazy Jim came.,1
183,Every one but lazy Jim came. //n Every one but Jim came.,0
184,Every one but Jim came. //n Every one but Jim who was busy that day came.,1
185,Every one but Jim who was busy that day came. //n Every one but Jim came.,0
186,Every one but Jim came. //n Every one but Jim and his wives came.,1
187,Every one but Jim and his wives came. //n Every one but Jim came.,0
188,There is a glass sculpture in the garden. //n There is a beautifull glass sculpture in the play ground.,1
189,There is a beautiful glass sculpture in the play ground. //n There is a glass sculpture in the garden.,0
190,There is a glass sculpture in the garden. //n There is a glass bird sculpture in the garden.,1
191,There is a glass bird sculpture in the garden. //n There is a glass sculpture in the garden.,0
192,There is a glass sculpture in the garden. //n There is a little glass sculpture in the garden.,1
193,There is a little glass sculpture in the garden. //n There is a glass sculpture in the garden.,0
194,A cow chases away flies with its tail. //n A heifer chases away flies with its tail.,1
195,Brian bought a lipstick for Kate. //n Brian bought a lipstick for his sister Kate.,1
196,Brian bought a lipstick for her sister Kate. //n Brian bought a lipstick for Kate.,0
197,Brian bought a lipstick for Kate. //n Brian bought a lipstick for his wife.,1
198,Brian bought a lipstick for Kate. //n Brian bought a lipstick for his partner.,1
199,There's a cat on the desk. //n There's a big and old cat on the desk.,1
200,There's a big and old cat on the desk. //n There's a cat on the desk.,0
201,There's a cat on the desk. //n There's a big chubby cat on the desk.,1
202,There's a big chubby cat on the desk. //n There's a cat on the desk.,0
203,She bought him a dog. //n When she came back from the trip she bought him a gift.,1
204,She bought him a dog. //n She bought him a big dog.,1
205,She bought him a big dog. //n She bought him a dog.,0
206,She has been studying French for a few years. //n She has been studying astro physics for a few years.,1
207,She has been studying French for a few years. //n She has been studying some foreign languages like korean for a few years.,1
208,She has been studying French for a few years. //n She has been studying caribbean language for a few years.,1
209,She gave a cat some milk. //n She gave a dog some milk.,1
210,She gave a cat some milk. //n She gave a cub some milk.,1
211,She gave a cat some milk. //n She gave an adult cat some milk.,1
212,She gave an adult cat some milk. //n She gave a cat some milk.,0
213,She gave a cat some milk. //n She gave a monkey some milk.,1
214,He spent a few months in Scotland. //n He spent a few months in wales.,1
215,He spent a few months in Scotland. //n He spent a few months in madrid.,1
216,A lot of students around the world are studying English. //n A lot of students around the world are studying English for better incomes and salaries.,1
217,A lot of students around the world are studying English for better incomes and salaries. //n A lot of students around the world are studying English.,0
218,There are some apples in that box. //n There are some pears in that box.,1
219,There are some apples in that box. //n There are some lemons in that box.,1
220,There are some apples in that box. //n There are some bananas in that box.,1
221,A dog chased a cat. //n A fat dog chased a cat.,1
222,A fat dog chased a cat. //n A dog chased a cat.,0
223,I bought a few stamps. //n I bought a few pesos.,1
224,I bought a few stamps. //n I bought a few posts.,1
225,"Nikos Kourkoulos was a greek actor. //n Nikos Kourkoulos, who grew up in the athens district of zografou, was a greek actor.",1
226,They're digging a hole. //n They're digging a hole in the park.,1
227,They're digging a hole in the park. //n They're digging a hole.,0
228,They're digging a hole. //n They're digging a huge hole.,1
229,They're digging a huge hole. //n They're digging a hole.,0
230,They're digging a hole. //n They're digging a big hole in school.,1
231,I gave a lot of cheese. //n I gave a lot of cheese to baby.,1
232,Tom is driving a truck. //n Tom is driving an old truck.,1
233,Tom is driving an old truck. //n Tom is driving a truck.,0
234,He drank a whole bottle of milk. //n He drank a whole 1 liter bottle of milk.,1
235,I'm expecting a call. //n I'm expecting a good weather this year.,1
236,I'm expecting a call. //n I'm expecting a good news.,1
237,I saw a hippo at the zoo. //n I saw a leon at the zoo.,1
238,I saw a hippo at the zoo. //n I saw a god at the zoo.,1
239,She was clad in a kimono. //n She was clad in a bathrobe.,1
240,My father fixed a broken chair. //n My father fixed a broken cabinet.,1
241,My father fixed a broken chair. //n My father fixed a broken car.,1
242,A smell of lilies filled the room. //n A smell of white lilies filled the room.,1
243,A smell of white lilies filled the room. //n A smell of lilies filled the room.,0
244,A smell of lilies filled the room. //n A smell of lilies and roses filled the room.,1
245,A smell of lilies and roses filled the room. //n A smell of lilies filled the room.,0
246,A smell of lilies filled the room. //n A smell of lilies and azaleas filled the room.,1
247,A smell of lilies filled the room. //n A smell of farts filled the room.,1
248,A smell of lilies filled the room. //n A smell of cotton candy filled the room.,1
249,Tom grabbed some paper towels and wiped his hands. //n Tom grabbed some piece of paper to quit the water on his hands.,1
250,Tom grabbed some paper towels and wiped his hands. //n Tom grabbed some hand towel to dry all the water on it.,1
251,Rudolf has built a large house. //n Rudolf bush has built a large house.,1
252,Tom is planting a palm tree in his backyard. //n Tom is planting an apple tree in his backyard.,1
253,Tom is planting a palm tree in his backyard. //n Tom is planting a lemon tree in his backyard.,1
254,Tom is planting a palm tree in his backyard. //n Tom is planting a fig and palm tree in his backyard.,1
255,Tom is planting a fig and palm tree in his backyard. //n Tom is planting a palm tree in his backyard.,0
256,Tom is planting a palm tree in his backyard. //n Tom is planting a palm and an olive tree in his backyard.,1
257,Stracciatella ice-cream is nothing but a plain ice-cream with chocolate chips. //n Mcdonalds ice-cream is nothing but a plain ice-cream with chocolate chips.,1
258,She said that she takes a shower every morning. //n She said that she takes a cold shower every morning.,1
259,She said that she takes a cold shower every morning. //n She said that she takes a shower every morning.,0
260,A human body consists of a countless number of cells. //n A human body consists of a countless number of cells and tissues.,1
261,A human body consists of a countless number of cells and tissues. //n A human body consists of a countless number of cells.,0
262,A human body consists of a countless number of cells. //n A human body consists of a countless number of mesh.,1
263,A human body consists of a countless number of cells. //n A human body consists of a countless number of red blood cells.,1
264,A human body consists of a countless number of red blood cells. //n A human body consists of a countless number of cells.,0
265,"At this school, there are no grades and students have no homework. //n At this school, there are no grades and the best students have no homework.",1
266,"He thinks nothing of poverty. //n He thinks nothing of poverty, nor about wealth.",1
267,The streets are not safe at night. //n The streets are not safe at night alone.,1
268,I'm using a mac and I can't read a windows 95 file. //n I'm using a windows 10 and I can't read a windows 95 file.,1
269,I'm using a mac and I can't read a windows 95 file. //n I'm using a windows 9 and I can't read a windows 95 file.,1
270,I'm using a mac and I can't read a windows 95 file. //n I'm using a windows 7 and I can't read a windows 95 file.,1
271,A DNA test proved her innocence. //n A sperm test proved his innocence.,1
272,Early rain and early guests seldom stay the night. //n Early rain and early tired guests seldom stay the night.,1
273,We have some unfinished business. //n We have some unfinished investigation.,1
274,We have some unfinished business. //n We have some unfinished songs.,1
275,I buy newspapers every day. //n I buy magazines every day.,1
276,This is only a temporary setback. //n This is only a temporary and minor setback.,1
277,That baby does nothing but cry. //n That spoiled baby does nothing but cry.,1
278,Tom isn't very good at sports. //n Tom isn't very good at fixing those kinds of things.,1
279,Tom isn't very good at sports. //n Tom isn't very good at outdoor games.,1
280,Tom isn't very good at sports. //n Tom isn't very good at playing outdoor games.,1
281,Juan can't help me. //n Juan and his friends can't help me.,1
282,Juan and his friends can't help me. //n Juan can't help me.,0
283,Juan can't help me. //n Juan and the boys can't help me.,1
284,A photograph can't explain the reasons. //n A photograph brightness can't explain the reasons.,1
285,That man can't have committed suicide. //n That white man can't have committed suicide.,1
286,That man can't have committed suicide. //n That good man can't have committed suicide.,1
287,Excitement isn't good for a man of my age. //n Frightful excitement isn't good for a man of my age.,1
288,Excitement isn't good for a man of my age. //n Low excitement isn't good for a man of my age.,1
289,Excitement isn't good for a man of my age. //n The impression is not good for a man of my age.,1
290,He has no interest in politics. //n He has no interest in the country.,1
291,He has no interest in politics. //n He has no interest in diplomacy.,1
292,He has no interest in politics. //n He has no interest in sociology.,1
293,Some people think that advertising is a form of brainwashing. //n Some people think that overwhelming advertising is a form of brainwashing.,1
294,Some people think that overwhelming advertising is a form of brainwashing. //n Some people think that advertising is a form of brainwashing.,0
295,"Some animals, such as lions, eat meat. //n Some animals, such as lions, eat some animals.",1
296,"Some animals, such as lions, eat some animals. //n Some animals, such as lions, eat meat.",0
297,He does nothing but play all day. //n He does nothing but play online poker all day.,1
298,He does nothing but play all day. //n He does nothing but play and laugh all day.,1
299,Cameras don't tend to capture reality. //n Mobile phones don't tend to capture reality.,1
300,Cameras don't tend to capture reality. //n Life don't tend to capture reality.,1
301,Cameras don't tend to capture reality. //n Luck don't tend to capture reality.,1
302,Cameras don't tend to capture reality. //n The hope don't tend to capture reality.,1
303,Some people go to church on Sunday morning. //n Some people go to church on tuesday morning.,1
304,Stracciatella ice-cream is nothing but a plain ice-cream with chocolate chips. //n Algida ice-cream is nothing but a plain ice-cream with chocolate chips.,1
305,Boys have no respect for girls. //n The school boys have no respect for girls.,1
306,All Tom wanted was a nice hot bath. //n All Tom wanted was a nice hot and relaxing bath.,1
307,All Tom wanted was a nice hot and relaxing bath. //n All Tom wanted was a nice hot bath.,0
308,"In any case, that's an illusion. //n In any case, that's an illusion and paranoid.",1
309,"If it's a nice day tomorrow, we'll go on a picnic. //n If it's a nice day tomorrow, we'll go on a horse riding.",1
310,Sport doesn't interest me. //n Game doesn't interest me.,1
311,Sport doesn't interest me. //n Playing doesn't interest me.,1
312,He was watchful for any sign of diabetes. //n He was watchful for any sign of arrhythmia.,1
